Make,Model,Year,Price,Contact Number,Class,Category,Length,Hull Material
Sunseeker,115 Sport Yacht,2015,525000,(888) 855-8041,Power, Mega Yachts,115,Fiberglass
Derecktor,Motoryacht,1993,389000,(904) 502-2266,Power," Motor Yachts, Pilothouse",114,Aluminum
Nedship,34 Meter,2008,299500,(877) 564-9702,Power," Mega Yachts, Motor Yachts",114,Composite
CHESAPEAKE BAY,USCG T-Class Overnight Passenger Vessel,1983,900000,(888) 351-7761,Power, Passenger,112,Steel
Sunseeker,34M Yacht,2009,4400000,(877) 430-8039,Power," Mega Yachts, Motor Yachts",112,Fiberglass
Fantasy,112' x 21' House Boat,2007,550000,(866) 537-5071,Power, House Boats,112,Aluminum
Leopard,34m (SWJ),2010,485000,(877) 430-8039,Power, Motor Yachts,112,Fiberglass
Ferretti Yachts,12V 4000 M90,2002,2879010,(888) 855-8041,Power," Motor Yachts, Sports Cruiser",112,Fiberglass
Westport,16V2000,2007,1204919,(305) 796-0040,Power, Flybridge,112,Fiberglass
Custom,Overnight Passage Maker,1983,1279560,(866) 220-9319,Power," Cruise Ship, Mega Yachts",112,Steel
Westport,"112 Raised Pilot House""",2008,269000,(866) 269-0990,Power," Pilothouse, Motor Yachts, Mega Yachts",112,Fiberglass
Technomar,MY (SWJ),2006,2105942,(877) 430-8039,Power, Motor Yachts,112,Composite
Tecnomar,MY (SWJ),2005,3998625,(877) 430-8039,Power, Motor Yachts,112,Fiberglass
Sunseeker,34M Yacht,2011,2025970,(888) 855-8041,Power, Mega Yachts,112,Fiberglass
Sharpe,20' x 112' House Boat,2004,7800000,(877) 625-3312,Power, House Boats,112,Aluminum
Lloyds Ships,112 Flybridge Motor Yacht,1983,1860693,(941) 914-9217,Power," Mega Yachts, Other",112,Aluminum
Ferretti Custom Line,112',2008,1759395,(772) 201-1800,Power," Motor Yachts, Pilothouse",112,Fiberglass
Cargo,Converted Cargo Vessel,1963,399000,(866) 461-6540,Power, Commercial Boats,110,Steel
New Build,Semi-Custom,2014,1850000,(877) 260-9119,Power," Mega Yachts, Motor Yachts",110,Fiberglass
Crew Vessel,Commercial Crew Vessel,1979,159900,(866) 461-6540,Power, Commercial Boats,110,Aluminum
Cantieri di Pisa,Akhir 110 LE,2000,1900000,(888) 573-4258,Power," Mega Yachts, Motor Yachts, Flybridge",110,Fiberglass
Bilgin,Motor Yacht (JFR),2008,1300,(877) 430-8039,Power, Motor Yachts,110,Fiberglass
Horizon,P110,2013,5000000,(800) 450-0660,Power, Motor Yachts,110,Fiberglass
Custom Motor Yacht,Explorer 110,2014,179000,(866) 220-9319,Power, Motor Yachts,110,Wood
Sumerset,110 x 20,2004,4051940,(941) 914-9217,Power," House Boats, Mega Yachts",110,Aluminum
Overmarine,MANGUSTA 108' SPORT,2006,2932325,3.91E+11,Power, Express Cruiser,110,Fiberglass
Horizon,Custom 4 Stateroom Motor Yacht,2000,4500000,(888) 351-7761,Power," Motor Yachts, Mega Yachts",110,Fiberglass
Dock only,110' end tee,2014,3945310,(866) 469-9640,Power," Motor Yachts, Saltwater Fishing",110,Other
Maldives Explorer,Expedition,2012,1299000,(877) 594-3411,Power, Motor Yachts,110,Wood
EUROCRAFT,Custom 110,1992,5326168,(866) 469-9640,Power," Mega Yachts, Motor Yachts",110,Fiberglass
Alumaship Inc.,Pilothouse,1974,2750000,(888) 573-4258,Power," Pilothouse, Commercial Boats",110,Aluminum
Astillero del Pacifico,Motor Yacht,1967,239000,(888) 474-7027,Power, Motor Yachts,110,Steel
Barge Restaurant,Restaurant,1942,245000,(866) 417-4234,Power, Barge,110,Other
Broward,12V71,1983,149000,(888) 332-7577,Power, Motor Yachts,110,Aluminum
Westship World Yachts,Motoryacht,2006,159900,(866) 694-9091,Power, Motor Yachts,110,Fiberglass
Sovereign,109 Sportfish Yacht,2015,135000,(941) 914-9217,Power," Mega Yachts, Sports Fishing Boats",109,Fiberglass
Ned Ship,34M,2008,8200000,(877) 430-8039,Power, Motor Yachts,109,Fiberglass
CANTIERI DI PISA AKHIR,16V 2000 M93,2009,389900,(888) 855-8041,Power," Motor Yachts, Flybridge",108,Fiberglass
Pershing,108',2011,1032178,(772) 260-1628,Power," Motor Yachts, Pilothouse",108,Fiberglass
Mangusta,Overmarine 108,2004,1066300,(888) 855-8041,Power," Motor Yachts, Express Cruiser",108,Fiberglass
Sanlorenzo,108,2007,745000,(866) 836-9139,Power," Motor Yachts, Flybridge, Pilothouse",108,Fiberglass
Westship,Westport,1999,329900,(888) 332-7577,Power, Motor Yachts,108,Fiberglass
Burger,SPORTFISH,2001,5864650,(866) 694-9091,Power," Motor Yachts, Sports Fishing Boats",108,Aluminum
Mangusta,Mangusta 108,2004,5995000,(888) 573-4258,Power, Motor Yachts,108,Fiberglass
Sanlorenzo,108,2007,1600000,(866) 836-9139,Power," Cruise Ship, Flybridge",108,Other
Ferretti,Custom Line Navetta 33,2012,2995000,(888) 837-0401,Power," Mega Yachts, Pilothouse",107,Fiberglass
Mangusta,108,2002,1972655,(786) 614-5723,Power, Mega Yachts,107,Fiberglass
Custom Line,Navetta 33 Crescendo,2011,2900000,34952810066,Power, Flybridge,107,Fiberglass
Vicem,107' Cruiser,2013,319900,(877) 849-4395,Power," Motor Yachts, Cruisers",107,Composite
Sumerset,21x106,2005,184900,(866) 920-9118,Power, House Boats,106,Aluminum
Sunrise,32 Explorer Yacht,2014,35000,(877) 564-9702,Power, Motor Yachts,106,Steel
Sumerset,21x106,2006,575000,(866) 920-9118,Power, House Boats,106,Aluminum
Wally,106 (SWJ),1998,2857684,(877) 430-8039,Sails, Cruisers,106,Fiberglass
Swiftship,Charter Fisherman,1980,3038955,(888) 669-8459,Power," Commercial Boats, Saltwater Fishing",105,Aluminum
Sumerset,19x105,2009,185000,(866) 288-7067,Power, House Boats,105,Fiberglass
Crescent,Raised Pilothouse Motor Yacht,1991,550000,(888) 573-4258,Power," Motor Yachts, Motor Yachts, Mega Yachts",105,Fiberglass
Benetti,Tradition 105',2009,465600,(866) 836-9139,Power," Mega Yachts, Mega Yachts, Motor Yachts",105,Fiberglass
Sumerset,19x105,2009,320000,(888) 845-0651,Power, House Boats,105,Aluminum
Sunseeker,Motor Yacht,2005,1690000,(888) 855-8041,Power," Motor Yachts, Flybridge",105,Fiberglass
Chinaboat,105 Mega Yacht,2011,325000,(888) 319-4650,Power," Mega Yachts, Motor Yachts",105,Fiberglass
Azimut,MY (SWJ),2008,449900,(877) 430-8039,Power," Motor Yachts, Mega Yachts",105,Aluminum
Commercial,Fast Passenger Ferry,2012,295000,(888) 477-6301,Power," Commercial Boats, Power Catamarans, Passenger",105,Fiberglass
STARDUST,19x104,2006,1386190,(866) 920-9118,Power, House Boats,104,Aluminum
San Lorenzo,104',2010,349000,3.00E+12,Power, Motor Yachts,104,Composite
Broward,Piothouse Motoryacht,1987,269000,"
                (904) 472-1114        ",Power, Pilothouse,104,ALUMINUM
Maiora,31DP,2006,123456792,(888) 397-8511,Power, Flybridge,104,Composite
Sanlorenzo,SL104,2012,349000,(786) 614-5723,Power, Mega Yachts,104,Fiberglass
THOROUGHBRED,21' x 103' House Boat,2012,5864650,(877) 625-3312,Power, House Boats,103,Aluminum
Hargrave Cheoy Lee,Tri-Deck Pilothouse,1989,250000,(866) 694-9091,Power," Mega Yachts, Motor Yachts",103,Fiberglass
Custom,Trawler,1994,175000,(866) 461-6540,Power, Trawlers,103,Steel
Maiora,31DP,2002,425000,34952810066,Power, Flybridge,103,Fiberglass
Broward,12V 71 T1,1988,289000,(866) 594-5122,Power, Motor Yachts,103,Aluminum
Ferretti Custom Line,Navetta 30m,2002,980996,(866) 836-9139,Power, Mega Yachts,102,Fiberglass
Fantasy Yachts,19X102,2001,1290000,(877) 659-5877,Power, House Boats,102,Aluminum
Falcon,MY (SWJ),2005,339000,(877) 430-8039,Power, Motor Yachts,102,Fiberglass
Palmer Johnson,Cockpit Motoryacht,1980,189000,(866) 694-9091,Power, Motor Yachts,102,Aluminum
Fantasy Houseboat,19X102,2001,3970000,(877) 659-5877,Power, House Boats,102,Aluminum
Ocean Alexander,OCEAN 102,2008,224900,(949) 466-6264,Power, Motor Yachts,102,Other
Numarine,102 (JSS),2015,299000,(877) 430-8039,Power, Flybridge,102,Fiberglass
Broward,Raised Pilothouse,1984,174700,(877) 657-2440,Power, Motor Yachts,102,Aluminum
Fantasy,20x102,2007,2121937,(866) 920-9118,Power, House Boats,102,Aluminum
Falcon Yachts,101,2002,250000,(888) 397-8511,Power," Motor Yachts, Flybridge",101,Other
HARGRAVE,Motor Yacht,2010,325000,(888) 225-1630,Power, Motor Yachts,101,Fiberglass
Sumerset,19x101,2004,199999,(866) 920-9118,Power, House Boats,101,Aluminum
Breaux Brothers Ent.,1A18288,2001,229000,(504) 452-1366,Power, Sports Fishing Boats,101,Aluminum
Azimut,98 Leonardo,2003,264900,34952810066,Power, Flybridge,101,Fiberglass
Breaux,Yacht fisherman,2001,500000,(877) 594-3411,Power, Sports Fishing Boats,101,Aluminum
Breaux Bay,Yacht Fisherman,2001,950000,(888) 474-7027,Power, Motor Yachts,101,Aluminum
Custom,CRUISE / RACER,1996,2450000,(855) 257-7057,Sails," Racers, Cruisers, Racers and Cruisers",100,Fiberglass
Baia,ONE HUNDRED,2015,169000,(888) 855-8041,Power, Express Cruiser,100,Composite
Custom,Crew Boat/ Fishing Boat,1979,215000,(866) 461-6540,Power, Commercial Boats,100,Aluminum
Ferretti Yachts,Custom Line 100,2014,339000,(888) 837-0401,Power, Flybridge,100,Composite
Custom Yacht,100 Expedtion,1982,949007,(866) 469-9640,Power," Motor Yachts, Trawlers",100,Steel
Sumerset,18x100,2005,299900,(866) 920-9118,Power, House Boats,100,Aluminum
Azimut,100 Jumbo,2000,189000,(855) 451-5013,Power," Mega Yachts, Motor Yachts",100,Fiberglass
Swiftships,Motor Yachts,1975,259000,15042826800,Power," Motor Yachts, Dive Boat",100,Aluminum
Stephens,Expedition Yacht,1975,9650000,(888) 332-7577,Power, Motor Yachts,100,Aluminum
TARRAB,Flybridge Motor Yacht,1998,12346,(888) 332-7577,Power, Motor Yachts,100,Fiberglass
Broward,RPH / With Intrepid Tender,1992,2695000,(888) 837-0401,Power, Mega Yachts,100,Fiberglass
Benetti,TRADITION 100,2007,249000,(888) 319-4650,Power," Mega Yachts, Motor Yachts",100,Fiberglass
Crew Vessel,Commercial Crew Vessel,1979,75000,(866) 461-6540,Power, Commercial Boats,100,Aluminum
Azimut,Jumbo 1996/2010,1996,1380858,(888) 837-0401,Power, Motor Yachts,100,Fiberglass
Sumerset,18 x 100 House Boat,2000,385000,(866) 694-7902,Power, House Boats,100,Aluminum
Fantasy,Houseboat,2007,709789,(888) 541-8907,Power, House Boats,100,Aluminum
Swiftship,95,1976,1600000,(888) 573-4258,Power, Commercial Boats,100,Aluminum
Hatteras,100 Cockpit Motor Yacht,2005,2890000,(888) 837-0401,Power, Mega Yachts,100,Fiberglass
Sumerset,Houseboat,2001,259000,(877) 773-9507,Power, Aft Cabin,100,Fiberglass
Admiral,100 Steamship,1955,2612435,(866) 469-9640,Power, Motor Yachts,100,Steel
Custom,Ketch,2006,2612435,(954) 330-8958,Sails," Ketch, Pilothouse",100,Steel
Custom,Paddle Boat,1995,2105942,(866) 461-6540,Power, Commercial Boats,100,Other
Sunseeker,Predator,2003,189999,(949) 466-6264,Power, Cruisers,100,Other
Yacht House,Custom,1980,2639092,(800) 450-0660,Power, Other,100,Other
Finney Boat Works,D6,2007,990000,(866) 814-3105,Power," House Boats, Motor Yachts",100,Steel
Burger,Raised Pilothouse,1996,7750000,(866) 694-9091,Power," Motor Yachts, Pilothouse",100,Aluminum
Fantasy,20x100 Wide Body,2006,199000,(866) 246-9264,Power, House Boats,100,Aluminum
Guy Couach,100 Motor Yacht,1988,2388512,(888) 319-4650,Power," Motor Yachts, Commercial Boats, Flybridge",100,Fiberglass
Broward,Motor Yacht,1987,6295000,(877) 849-4395,Power," Motor Yachts, Pilothouse, Mega Yachts",100,Aluminum
Fantasy,Widebody,2003,999000,(866) 257-6813,Power, House Boats,100,Aluminum
Hatteras,100' MOTORYACHT,2003,375000,(954) 760-6530,Power, Motor Yachts,100,Fiberglass
Ferretti,Custom Line,2014,159000,(305) 987-2909,Power, Motor Yachts,100,Other
Certified Charter,Mega-Sloop,1996,1195000,(562) 437-7500,Sails," Racers and Cruisers, Racers, Commercial Boats",100,Composite
Broward,Motor Yacht,1988,4700000,(888) 332-7577,Power, Motor Yachts,100,Aluminum
30 x 60 Floating House under,60 x 100 Cover,1990,1399900,(866) 238-6463,Power, House Boats,100,Other
Fantasy,100 Wide Body,2006,1200000,(866) 220-9319,Power, House Boats,100,Aluminum
Sukuki,GSXR 750,2011,6190000,(888) 862-8208,Power, Other,99,Aluminum
Custom Yacht,99,1997,799000,(866) 469-9640,Power, Motor Yachts,99,Wood
Accelera,98,2013,219900,(866) 836-9139,Power," Motor Yachts, Mega Yachts",98,Fiberglass
Westport,COCKPIT MOTOR YACHT,1992,175000,"
                (954) 494-1448        ",Power, Motoryacht,98,FIBERGLASS/COMPOSITE
Sunseeker,30M Yacht,2009,269000,(877) 430-8039,Power," Mega Yachts, Motor Yachts",98,Fiberglass
Trawler,Shrimper,1997,1500000,(866) 461-6540,Power, Commercial Boats,98,Steel
Azimut,98 Leonardo,2004,229000,(772) 214-2393,Power," Mega Yachts, Motor Yachts",98,Fiberglass
Broward,Raised Pilothouse Motor Yacht,1982,229900,(800) 450-0660,Power, Motor Yachts,98,Aluminum
CNL,CANTIERI DI LAVAGNA ADMIRAL 30,2000,159000,(866) 340-4335,Power, Motor Yachts,98,Aluminum
Azimut,100,1999,169000,(786) 614-5723,Power," Mega Yachts, Commercial Boats",98,Composite
Azimut,Azimut 98,2006,699000,(888) 573-4258,Power," Flybridge, Motor Yachts",98,Fiberglass
Burger,Cockpit,1989,4158570,(866) 694-9091,Power, Motor Yachts,98,Aluminum
Cheoy Lee,Re-fit 2004,1988,499000,(954) 483-8765,Power," Flybridge, Motor Yachts",98,Fiberglass
Ferretti,97 Custom Line,2008,2132600,(888) 855-8041,Power, Motor Yachts,98,Fiberglass
Breaux Bay,Custom Charter,1972,2950000,(888) 669-8459,Power," Dive Boat, Commercial Boats, Cargo Ship",98,Aluminum
Sumerset,18x97,2005,1076963,(866) 920-9118,Power, House Boats,97,Aluminum
Vosper LRC,MOTOR YACHT,1963,851973,(866) 220-9319,Power," Motor Yachts, Antique and Classics",97,Steel
Santa Margherita,Motoryacht,1983,399000,(877) 657-2443,Power," Motor Yachts, Mega Yachts, Pilothouse",97,Steel
Sunstar,20' x 97' Houseboat,2003,159900,(866) 271-1662,Power, House Boats,97,Aluminum
Azimut,Motor Yacht,1990,4695000,(866) 477-5884,Power," Motor Yachts, Mega Yachts",97,Fiberglass
Ferretti Custom Line,97',2008,1250000,34952810066,Power, Flybridge,97,Other
Ferretti Yachts,Custom Line 97,2008,295000,(866) 836-9139,Power," Motor Yachts, Mega Yachts",97,Fiberglass
Sanlorenzo,100,2007,1092957,(786) 614-5723,Power," Commercial Boats, Mega Yachts",96,Fiberglass
TARRAB,105 Motor Yacht Tri-Deck,2014,300000,(877) 416-0211,Power, Motor Yachts,96,Fiberglass
HARGRAVE,Sky Lounge,2005,2499000,(888) 332-7577,Power, Motor Yachts,96,Fiberglass
Astondoa,95 GLX,2001,300000,(561) 844-4109,Power, Motor Yachts,95,Fiberglass
Foilcat,High Speed Ferry,1992,395000,(877) 430-8039,Power, Commercial Boats,95,Aluminum
Breaux Baycraft,Motor Yacht,1966,244900,(866) 535-5872,Power, Motor Yachts,95,Aluminum
INACE,Expedition Yacht with Helipad,2005,239000,(866) 694-9091,Power, Motor Yachts,95,Steel
Intermarine,RPH,2001,810388,(888) 332-7577,Power, Motor Yachts,95,Fiberglass
Custom Line,94,2005,1060968,34952810066,Power, Flybridge,95,Fiberglass
Lydia Yachts,Sport Fish,1995,1050000,(888) 397-8511,Power," Sports Fishing Boats, Motor Yachts",95,Other
Princess,95',2011,445000,(954) 328-2700,Power, Motor Yachts,95,Fiberglass
Sumerset,95 x 20,2006,188400,(941) 914-9217,Power," House Boats, Mega Yachts",95,Other
Bergan,Custom 95,1973,1395000,(941) 914-9217,Power," Mega Yachts, Other",95,Steel
CNC,C-32,2010,202000,(866) 594-5122,Power," Motor Yachts, Barge",95,Fiberglass
Stardust Cruisers,18 X 95 Houseboat,2004,274000,(888) 659-1462,Power, House Boats,95,Aluminum
Foilcat,High Speed Ferry (JSS),1992,975000,(877) 430-8039,Power, Commercial Boats,95,Aluminum
